,minimum,maximum
TKL2_c,-1.6420183693551525e-11,2.1078487909870787e-12
P5CR_m,0.0,7.540657442502832e-13
P5CR_c,0.0,3.4252089531156435e-12
DAPEP_h,0.0,9.40081890606401e-12
DAHPS_h,3.713937712468336e-12,2.3570882199563633e-12
DAHPS_c,0.0,2.0596874723098885e-12
BCKDHI_m,-1.2660686954142695e-12,6.510320598615565e-12
BCKDHV_m,-1.0017510088551013e-27,2.0361835544518957e-12
DHQS_h,0.0,-8.962323950300402e-13
DHQS_c,0.0,2.299354888178291e-13
SERPT_c,0.0,1.1109651261059527e-12
KARI_1_h,1.7681921172999756e-12,0.0
KARI_2_h,2.384408690403355e-12,6.6690618051259366e-12
BCKDHL_m,0.0,3.4110031311984837e-12
3OAS181_h,0.0,-4.5471367942520296e-13
3OAS120_h,-3.7894578436554296e-13,1.6064209569764143e-12
3OAS120_m,0.0,2.89139858184038e-12
3OAS100_h,2.044790658056676e-13,1.5391855792502647e-12
3OAS100_m,0.0,2.9953240713868078e-12
3OAS60_h,2.044790658056676e-13,8.727239710335082e-12
3OAS60_m,0.0,6.420262096046563e-13
3OAS140_h,2.044790658056676e-13,1.7444865169704114e-12
3OAS140_m,0.0,1.4688382006198113e-12
3OAS80_h,2.044790658056676e-13,-3.214816717414521e-11
3OAS80_m,0.0,7.957846144250787e-13
3OAS180_h,-2.9019159201220214e-27,6.4730043973136854e-12
3OAS160_h,0.0,3.50967518079123e-13
3OAS160_m,0.0,3.3014850813157028e-12
CHRS_h,-4.060015220894871e-28,6.1065473733004025e-12
ADCS_m,0.0,5.387153681221003e-12
CMS_h,0.0,1.3120848057044424e-11
HGNTOR_c,0.0,4.759680653287095e-12
ASPK_h,0.0,2.2771529908363918e-11
PRAIC_c,8.795918349647182e-13,0.0
PRAIS_c,-2.0860731205866173e-27,4.699618704178008e-12
MTRI_c,0.0,2.833534987526536e-12
MTRK_c,0.0,7.204347347320376e-12
MTAN_c,0.0,7.204347347320377e-12
AGK_h,0.0,1.4623599824033504e-11
3OAS40_h,0.0,9.192573892433547e-12
3OAS40_m,0.0,1.7508849629023078e-12
PDH_E1b_h,0.0,4.0605256653510635e-11
PDH_E1b_m,0.0,-5.3035833023804814e-11
PDH_E2_m,4.577321141976449e-12,0.0
ARGSS_c,9.312110872312714e-28,-1.317427804035343e-11
ASPCT_h,0.0,7.521393386914284e-12
ASPCT_c,0.0,6.679029646136525e-12
DHR_c,4.144029132074016e-12,0.0
ATDAM_c,0.0,2.7518091660314135e-12
ADSS_m,0.0,1.0851091194743825e-10
TMTD_h,0.0,6.594067842087985e-12
DXR_h,1.6053051104206499e-12,1.3648165685930115e-11
PRFGCL_c,0.0,4.083651750002853e-12
PRFGS_c,0.0,4.343440588111068e-12
LYCBC1_h,1.0369927031685337e-12,0.0
G1SAT_h,4.832367995920055e-12,0.0
G5DH_c,0.0,2.7822895173869395e-11
GTHS_c,0.0,7.943332877534731e-12
HDH_c,0.0,2.7622800150420228e-12
FACOAL_183_9Z12Z15Z_c,0.0,2.1647554968697904e-11
MPMT_h,7.759989612289446e-13,0.0
NOR_h,7.310581603176124e-14,9.640146712870295e-13
CYEUOLI_c,0.0,0.0
OBFOLOR_c,0.0,0.0
PPDH_c,0.0,1.7165180835751994e-12
PDS1_h,7.276667566110717e-12,-1.4020108799479106e-12
PSY_h,1.4458424276698605e-12,7.818205496903831e-13
PPBNGD_h,8.296996946744996e-13,0.0
PPBNGS_h,0.0,4.298178876930604e-12
CPPPGO_h,0.0,4.20140840219658e-12
CPPPGO_c,0.0,1.5643627121506749e-12
PPPGO_h,0.0,1.6358100860966117e-12
PPRGL_c,0.0,3.9373562069439085e-12
IMGPS_c,6.232431362989736e-27,7.014886041816943e-12
PRICI_c,0.0,1.7363990703331651e-12
PSP_c,-4.7358674899280316e-29,1666.6666666667222
PSPPS_c,0.0,0.0
FBA3_h,0.0,7.824087834636024e-12
SBP_c,0.0,6.193989711422139e-12
OGDH_E1_m,0.0,8.574481772328697e-12
EPSPS_h,5.266008618805029e-13,0.0
SQLS_c,0.0,0.0
DAPAT_h,0.0,3.3363418866908548e-12
DHPR_h,0.0,6.877689359390541e-12
GLUTL_h,0.0,5.855146446920594e-13
GLUTL_c,0.0,6.176450723160566e-13
GLUTRR_h,0.0,1.624854204463405e-11
TMTG_h,0.0,-7.17665351157016e-12
PDS2_h,9.172368408697472e-13,9.534006276419958e-13
ZDS_h,7.163086988910764e-14,3.5369842118684606e-15
METTF_c,0.0,0.0
HEMEASM_c,0.0,0.0
MERGTOLR_c,0.0,0.0
PPM_h,4.47349575330216e-11,1.4584736324767222e-11
PPM_x,-10000.0,10000.000000000002
PPM_c,-10000.0,10000.0
SSAL2_c,0.0,0.0
ARGTL_c,0.0,3.756153674173987e-13
CYSTL_m,0.0,0.0
CYSTL_c,0.0,3.59153082002432e-14
GLYTL_m,0.0,0.0
GLYTL_c,0.0,1.1603962478777401e-13
HISTL_m,0.0,0.0
HISTL_c,0.0,-1.7250130061536554e-13
ILETL_h,0.0,0.0
ILETL_c,0.0,5.239178198422634e-13
LEUTL_c,0.0,4.1652230574064823e-13
LYSTL_c,0.0,1.576428205483938e-13
METTL_c,0.0,4.724538101549936e-14
PHETL_c,0.0,1.2894330222721226e-13
PROTL_c,0.0,7.006602829126156e-13
THRTL_h,0.0,0.0
THRTL_c,0.0,4.977226504466558e-13
TRPTL_c,0.0,7.610132596603722e-14
TYRTL_c,0.0,1.9576746409298303e-13
VALTL_m,0.0,0.0
VALTL_c,0.0,2.456788825814184e-13
NADK_h,0.0,-5.862010539151699e-28
FUM_c,8.592979313116668e-13,2.3267946449146604e-11
GLYTA_c,0.0,1.473969970814828e-11
BCTAV_h,-1.0150353210809295e-14,8.422756216392976e-12
BCTAV_m,0.0,5.801601155320188e-12
BCTAV_c,0.0,0.0
PGAM_h,0.0,0.0
PGAM_m,-1666.6666666666672,5.651076788163791e-11
PGAM_c,6.9852505121624855e-12,0.0
PDX5PO_c,0.0,8.353913999432039e-12
PYDXNO_c,0.0,1.3483251888752817e-11
PYAM5PO_c,0.0,1.0905509442667555e-11
PYAMOX_c,0.0,1.5386408954212302e-11
PMANM_c,1.95368564641849e-12,0.0
POAT_c,1.9373650091582055e-12,0.0
FA160ACPH_m,-2.773670777762527e-28,4.629017885189213e-12
GCS_m,0.0,1.2102471850000742e-10
HGDH_c,0.0,1.1419422261658862e-11
THFAT_m,0.0,5000.00000000012
3HAD40_h,2.046764065281974e-12,1.150874568951767e-12
3HAD181_h,0.0,1.0554068389603632e-11
3HAD120_h,2.050534277303955e-12,2.0394652467848593e-12
3HAD100_h,2.050534277303955e-12,1.4818634539872061e-12
3HAD60_h,2.050534277303955e-12,1.4818634539872061e-12
3HAD140_h,2.050534277303955e-12,1.4818634539872061e-12
3HAD80_h,2.050534277303955e-12,1.4818634539872061e-12
3HAD160_h,1.981119221969084e-12,0.0
ACOATA_m,0.0,6.523263223747732e-12
ACCOAC_h,0.0,1.384301133616516e-11
ACCOAC_c,0.0,4.0338608961809224e-11
3HAD180_h,0.0,1.486111082260845e-11
CAT_x,-5.507138148556897e-14,6.369557775151549e-12
UMPK_c,5.015060395886051e-13,4.1990362200818545e-11
RPI_c,1.4466725585501084e-11,4.169997974078599e-12
MTHFD_h,0.0,5.5030485669958405e-11
CBMK_m,0.0,4.506999116966472e-11
DXPS_h,0.0,4.663912173759789e-12
DHAD_4_h,0.0,1.4628536308188788e-11
DHAD_5_h,-1.2660686954142764e-12,3.2338252029379957e-11
DHFS_c,0.0,2.825702042523691e-12
ACOAT_h,3.2589567041357534e-11,0.0
3OAR140_m,0.0,3.600592864000993e-12
ANPRT_c,0.0,2.3856915097422462e-12
HOXG_h,0.0,-4.5301892653285446e-14
