,minimum,maximum
DHQS_c,0.0,0.04347826087423721
SERPT_c,0.0,0.1000000000055756
KARI_1_h,-0.23376623377341474,0.0
KARI_2_h,2.7896282554729125e-14,0.23376623378683736
BCKDHL_m,0.0,7.565333108065004e-13
3OAS181_h,0.0,-6.439754528362857e-29
3OAS120_h,0.0,-1.4515785817112352e-10
3OAS120_m,0.0,2.4695854597367566e-30
3OAS100_h,0.0,-5.848173124380875e-29
3OAS100_m,0.0,-3.427868605290873e-27
3OAS60_h,0.0,7.382572720456444e-14
3OAS60_m,0.0,-4.6038775699979005e-29
3OAS140_h,0.0,-3.82455060913671e-27
3OAS140_m,0.0,-3.2622992626666803e-29
3OAS80_h,0.0,0.0
3OAS80_m,0.0,3.212733201718243e-29
3OAS180_h,0.0,2.3537281764568667e-28
3OAS160_h,0.0,0.0
3OAS160_m,0.0,1.3816107034118267e-18
CHRS_h,1.1604856861108684e-27,0.04347826087793866
ADCS_m,0.0,0.0434782608769311
CMS_h,-3.904035008498104e-13,-2.5517795894117503e-26
HGNTOR_c,0.0,1.361427489545016e-29
ASPK_h,0.0,0.5000000000430018
PRAIC_c,-0.12499999998999499,0.0
PRAIS_c,0.0,0.12500000001500924
MTRI_c,0.0,-2.6616276669896577e-13
MTRK_c,0.0,0.0
MTAN_c,0.0,0.0
AGK_h,4.504166031876793e-27,0.7500000001196324
3OAS40_h,0.0,2.985688401082385e-26
3OAS40_m,0.0,-4.8403376774672884e-29
PDH_E1b_h,-5.579800029364747e-27,1.1249999999733815
PDH_E1b_m,0.0,1.1250000000146045
PDH_E2_m,-1.1250000000165397,0.0
ARGSS_c,0.0,0.7500000000009549
ASPCT_h,0.0,8.947413578605346e-13
ASPCT_c,0.0,-4.179453602121407e-29
DHR_c,1.4480215648258982e-27,0.0
ATDAM_c,0.0,-3.6300472493103115e-27
ADSS_m,0.0,0.999999999984238
TMTD_h,0.0,4.025002024852519e-27
DXR_h,4.653254465192594e-27,-3.938581807310961e-27
PRFGCL_c,0.0,0.12500000000786815
PRFGS_c,0.0,0.1250000000035442
LYCBC1_h,-8.496019114071626e-14,0.0
G1SAT_h,-2.389242415433229e-27,0.0
G5DH_c,0.0,1.0000000000285116
GTHS_c,0.0,0.0
HDH_c,0.0,0.15000000000750763
FACOAL_183_9Z12Z15Z_c,0.0,0.7499999999539431
MPMT_h,-1.3136320225760295e-28,0.0
NOR_h,-3.9198016284478654e-20,0.0
CYEUOLI_c,0.0,0.0
OBFOLOR_c,0.0,0.0
PPDH_c,-1.8213807691086482e-28,3.857823885262098e-18
PDS1_h,2.2762935701269863e-27,3.880754247784965e-29
PSY_h,0.0,0.0
PPBNGD_h,-1.5888178233442063e-28,0.0
PPBNGS_h,0.0,-2.0903573095590233e-28
CPPPGO_h,0.0,3.5180345065577853e-32
CPPPGO_c,0.0,9.723523846326962e-32
PPPGO_h,0.0,3.518034506557785e-32
PPRGL_c,0.0,0.12500000000377517
IMGPS_c,0.0,0.15000000000958852
PRICI_c,0.0,0.15000000000659852
PSP_c,4.348063950761167e-17,1667.7362468810259
PSPPS_c,0.0,-1.5936317460044035e-28
FBA3_h,0.0,0.9999999999877641
SBP_c,0.0,0.9999999999766204
OGDH_E1_m,0.0,-9.021579609882079e-13
EPSPS_h,-0.04347826086984,1.2876118118374464e-28
SQLS_c,0.0,0.0
DAPAT_h,0.0,-1.09237829815481e-12
DHPR_h,0.0,-1.255544735119854e-12
GLUTL_h,0.0,-6.752366375542774e-13
GLUTL_c,0.0,-3.837998219575135e-12
GLUTRR_h,0.0,-6.752366375542769e-13
TMTG_h,0.0,1.3930271107534953e-12
PDS2_h,-1.882348545740369e-17,2.3387451963052283e-13
ZDS_h,0.0,2.099370998187427e-28
METTF_c,0.0,0.0
HEMEASM_c,0.0,0.0
MERGTOLR_c,0.0,0.0
PPM_h,-1.0000000000119893,0.37500000001326794
PPM_x,-10000.000000000004,10000.0
PPM_c,-10000.0,10000.0
SSAL2_c,0.0,0.0
ARGTL_c,0.0,-8.229716204551187e-13
CYSTL_m,0.0,0.0
CYSTL_c,0.0,-9.080627667237338e-14
GLYTL_m,0.0,0.0
GLYTL_c,0.0,-2.832233899927091e-12
HISTL_m,0.0,0.0
HISTL_c,0.0,-3.2554412642840117e-13
ILETL_h,0.0,0.0
ILETL_c,0.0,-8.948297032831818e-13
LEUTL_c,0.0,-1.5252779033236054e-12
LYSTL_c,0.0,-1.0284957470751831e-12
METTL_c,0.0,-3.0823905125746485e-13
PHETL_c,0.0,-8.412539022911376e-13
PROTL_c,0.0,-1.464585019273363e-12
THRTL_h,0.0,0.0
THRTL_c,0.0,-1.2556077592646804e-12
TRPTL_c,0.0,-2.0801944555155832e-13
TYRTL_c,0.0,-5.351212849541037e-13
VALTL_m,0.0,0.0
VALTL_c,0.0,-1.1190966695018983e-12
NADK_h,0.0,2.938947020644895e-42
FUM_c,-8.658955499402634e-29,1.0000000000458085
GLYTA_c,0.0,-4.2202289847142365e-13
BCTAV_h,-0.3333333333318457,0.0
BCTAV_m,0.0,-5.064274781657079e-13
BCTAV_c,0.0,0.0
PGAM_h,0.0,0.0
PGAM_m,-1666.7396851607189,1.1666666666655778
PGAM_c,-0.750000000051905,0.0
PDX5PO_c,0.0,-7.607262202368012e-13
PYDXNO_c,0.0,-4.2202289847142295e-13
PYAM5PO_c,0.0,-4.220228984714226e-13
PYAMOX_c,0.0,-4.220228984714226e-13
PMANM_c,-0.25274463005811676,0.0
POAT_c,-1.0554444441787424e-12,0.0
FA160ACPH_m,0.0,-2.0330320706730103e-13
GCS_m,0.0,1.1113826508264286
HGDH_c,0.0,-4.2202289847142507e-13
THFAT_m,0.0,5000.688110964357
3HAD40_h,3.694765949653751e-11,-5.100597916828628e-13
3HAD181_h,0.0,4.84491138286634e-12
3HAD120_h,2.5601775727179515e-11,-5.198677542568858e-14
3HAD100_h,2.5601775727179515e-11,-5.198677542568955e-14
3HAD60_h,2.5601775727179515e-11,-5.198677542568735e-14
3HAD140_h,2.5601775727179515e-11,-5.198677542568955e-14
3HAD80_h,2.5601775727179515e-11,-5.198677542568955e-14
3HAD160_h,3.661478717003237e-11,-7.098180153587597e-14
ACOATA_m,0.0,-1.6953896041133122e-14
ACCOAC_h,0.0,2.8951098439206724e-11
ACCOAC_c,0.0,1.0000000000724045
3HAD180_h,2.5778545195868923e-12,-4.0428602178374736e-13
CAT_x,0.0,-4.2202289847142335e-13
UMPK_c,0.0,1.0000000000747862
RPI_c,-0.6669925143074898,0.9999999999425061
MTHFD_h,0.0,2.168295904887301
CBMK_m,0.0,0.7500000000024961
DXPS_h,-2.8792168600608256e-19,-6.777080422877204e-12
DHAD_4_h,0.0,0.3333333333459582
DHAD_5_h,-1.2660686954142704e-12,0.2337662337849635
DHFS_c,-5.176007908553743e-28,0.04347826086798387
ACOAT_h,-0.750000000015418,0.0
3OAR140_m,0.0,-7.473308976677143e-13
ANPRT_c,0.0,-1.5601458416366876e-13
HOXG_h,0.0,-1.0550572461785572e-13
HOXG_c,0.0,-1.0550572461785584e-13
CHLPAS_h,-2.792462914415358e-15,-1.2313997073943223e-13
TRPS1_c,0.0,2.374502403652067e-13
SERTL_m,0.0,0.0
SERTL_c,0.0,-1.1930059465300479e-12
ASNTL_m,0.0,0.0
GACT_h,-0.7499999999973214,0.0
NPDPS_m,0.0,-2.8133997184868014e-13
NPDPS_c,0.0,-2.813485989809489e-13
DHPS_m,0.0,0.043478260866975565
IMPHL_1_h,0.0,0.31578947368499855
IMPHL_2_h,0.0,0.3157894736783594
ASL_c,1.3188073015159278e-11,0.7499999999902035
MPBQMT_h,0.0,-8.010865146255559e-12
TRPS2_c,0.0,-2.7735926073541163e-13
ACN_a_m,-0.4615384615341958,-1.5054488114238781e-12
ACN_b_m,6.126740432208073e-17,0.46153846149084093
GLK_c,0.0,0.5000000000000001
PFK_c,0.0,1.499999999912018
PGL_c,0.0,2.000977542959753
EDD_c,0.0,1.4999999998952651
EDA_m,0.0,1.5000000001512934
RUBISC_h,0.0,0.3750000000356002
IDH_m,0.0,0.4615384615393533
